X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399658.200000003,138304.129999999,25134645,2025/09/03 19:09:52+00,EVENING,OTHERS,THEFT/OTHER,160 - 199 BLOCK OF R STREET NE,399658.2,138304.13,5,5F,5.0,502.0,Cluster 21,008702 2,8702.0,Precinct 75,38.9126010679,-77.0039410325,NOMA,2025/05/03 21:00:00+00,2025/08/14 19:30:00+00,810342382,
399703.560000002,144058.620000001,25134978,2025/09/04 06:36:56+00,MIDNIGHT,GUN,ROBBERY,6100 - 6199 BLOCK OF NEW HAMPSHIRE AVENUE NE,399703.56,144058.62,4,4B,4.0,406.0,Cluster 19,009505 2,9505.0,Precinct 64,38.9644392219,-77.0034205074,,2025/09/03 04:02:00+00,2025/09/04 05:10:00+00,810342383,
398010.079999998,138818.940000001,25135432,2025/09/05 01:22:22+00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3.0,305.0,Cluster 3,003500 3,3500.0,Precinct 37,38.917236462,-77.0229457261,,2025/09/05 00:12:00+00,2025/09/05 00:18:00+00,810342384,
401418.667900003,134721.0185,25137941,2025/09/09 23:25:46+00,EVENING,GUN,ROBBERY,700 - 799 BLOCK OF 15TH STREET SE,401418.66790327,134721.018522452,6,6B,1.0,107.0,Cluster 26,006802 2,6802.0,Precinct 91,38.8803220173,-76.983649833,,2025/09/09 18:40:00+00,2025/09/09 20:18:00+00,810342385,
394449.149999999,137479.059999999,25138545,2025/09/10 21:29:01+00,EVENING,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,394449.15,137479.06,2,2E,2.0,206.0,Cluster 4,000202 3,202.0,Precinct 6,38.9051510928,-77.0639958956,GEORGETOWN,2025/09/10 20:47:00+00,,810342386,
401352.640000001,140499.239999998,25135690,2025/09/05 16:29:06+00,DAY,OTHERS,THEFT F/AUTO,3400 - 3499 BLOCK OF 15TH STREET NE,401352.64,140499.24,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70,38.9323743497,-76.984399425,,2025/09/05 15:29:00+00,2025/09/05 16:00:00+00,810342676,
397833.630000003,138305.030000001,25136066,2025/09/06 08:44:31+00,MIDNIGHT,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF R STREET NW,397833.63,138305.03,2,2G,3.0,307.0,Cluster 7,004901 1,4901.0,Precinct 21,38.9126065719,-77.0249787458,,2025/09/06 01:40:00+00,2025/09/06 02:46:00+00,810342677,
398758.710000001,145213.059999999,25136737,2025/09/07 13:59:08+00,DAY,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4.0,401.0,Cluster 17,001702 2,1702.0,Precinct 63,38.9748378665,-77.014324859,,2025/09/07 13:25:00+00,2025/09/07 13:34:00+00,810342678,
398758.710000001,145213.059999999,25137584,2025/09/09 02:25:48+00,EVENING,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4.0,401.0,Cluster 17,001702 2,1702.0,Precinct 63,38.9748378665,-77.014324859,,2025/09/09 00:02:00+00,2025/09/09 01:02:00+00,810342679,
401135.238200001,135140.8046,25137725,2025/09/09 11:40:59+00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF D STREET SE,401135.238207006,135140.804634841,6,6B,1.0,107.0,Cluster 26,006900 2,6900.0,Precinct 91,38.8841040245,-76.9869156707,,2025/09/09 04:00:00+00,,810342680,
394088.460000001,138708.719999999,25137933,2025/09/09 22:55:30+00,EVENING,OTHERS,THEFT F/AUTO,1851 - 2008 BLOCK OF WISCONSIN AVENUE NW,394088.46,138708.72,2,2E,2.0,206.0,Cluster 4,000102 1,102.0,Precinct 5,38.9162259346,-77.0681648844,,2025/09/09 17:25:00+00,2025/09/09 20:06:00+00,810342681,
401265.810000002,140548.600000001,25138080,2025/09/10 00:15:22+00,EVENING,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF MONROE STREET NE,401265.81,140548.6,5,5B,5.0,504.0,Cluster 22,009301 4,9301.0,Precinct 73,38.932819129,-76.9854007814,,2025/09/09 02:30:00+00,2025/09/09 13:25:00+00,810342682,
397226.920000002,136542.420000002,25138416,2025/09/10 16:37:47+00,DAY,OTHERS,THEFT/OTHER,500 - 599 BLOCK OF 14TH STREET NW,397226.92,136542.42,2,2C,2.0,209.0,Cluster 8,005802 2,5802.0,Precinct 129,38.8967266587,-77.0319671348,DOWNTOWN,2025/09/09 15:00:00+00,2025/09/10 01:00:00+00,810342683,
399490.939999998,134234.390000001,25138907,2025/09/11 14:54:39+00,DAY,OTHERS,THEFT/OTHER,1200 - 1253 BLOCK OF 1ST STREET SE,399490.94,134234.39,8,8F,1.0,106.0,Cluster 27,007201 1,7201.0,Precinct 131,38.8759392734,-77.0058665631,CAPITOL RIVERFRONT,2025/09/11 14:24:00+00,2025/09/11 14:53:00+00,810342684,
396744.210000001,137054.309999999,25139212,2025/09/11 23:46:02+00,EVENING,OTHERS,THEFT/OTHER,1600 - 1627 BLOCK OF I STREET NW,396744.21,137054.31,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17,38.9013362924,-77.0375340791,GOLDEN TRIANGLE,2025/09/11 23:15:00+00,2025/09/11 23:45:00+00,810342685,
398946.670000002,139329.829999998,25140120,2025/09/13 14:46:38+00,DAY,OTHERS,THEFT/OTHER,2400 - 2499 BLOCK OF 1ST STREET NW,398946.67,139329.83,5,5E,3.0,306.0,Cluster 21,003301 1,3301.0,Precinct 135,38.9218403474,-77.0121467103,,2025/09/13 12:40:00+00,2025/09/13 14:00:00+00,810342686,
398099.0,136943.449999999,25142896,2025/09/19 23:58:41+00,EVENING,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF 7TH STREET NW,398099.0,136943.45,2,2C,1.0,101.0,Cluster 8,005801 2,5801.0,Precinct 129,38.9003415999,-77.0219151997,DOWNTOWN,2025/09/18 19:57:00+00,2025/09/18 20:23:00+00,810342687,
399695.200000003,137774.0,25143230,2025/09/19 13:12:02+00,DAY,OTHERS,ROBBERY,1300 - 1399 BLOCK OF 2ND STREET NE,399695.2,137774.0,6,6E,5.0,501.0,Cluster 25,010601 2,10601.0,Precinct 144,38.9078254892,-77.0035141787,NOMA,2025/09/19 11:39:00+00,,810342688,
406827.329999998,136094.550000001,25143955,2025/09/20 16:59:37+00,DAY,OTHERS,THEFT/OTHER,200 - 399 BLOCK OF 56TH STREET NE,406827.33,136094.55,7,7C,6.0,608.0,Cluster 31,007808 3,7808.0,Precinct 96,38.8926699447,-76.9213013002,,2025/09/20 16:00:00+00,2025/09/20 16:20:00+00,810342689,
