X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
397330.130000003,138792.899999999,25142209,2025/09/17 22:28:57+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF U STREET NW,397330.13,138792.9,1,1B,3.0,305.0,Cluster 3,004402 1,4402.0,Precinct 22,38.9170000824,-77.0307861136,,2025/09/17 13:57:00+00,2025/09/17 15:37:00+00,810248715,
402762.920000002,132690.300000001,25143014,2025/09/18 23:55:03+00,EVENING,OTHERS,THEFT/OTHER,2200 - 2226 BLOCK OF TOWN CENTER DRIVE SE,402762.92,132690.3,7,7B,6.0,606.0,Cluster 35,007604 3,7604.0,Precinct 113,38.8620252896,-76.9681654717,,2025/09/18 22:49:00+00,2025/09/18 23:55:00+00,810248716,
393173.950000003,142324.530000001,25143621,2025/09/20 01:34:55+00,EVENING,OTHERS,ROBBERY,4500 - 4599 BLOCK OF 40TH STREET NW,393173.95,142324.53,3,3E,2.0,202.0,Cluster 11,001100 4,1100.0,Precinct 32,38.9487916125,-77.0787458915,,2025/09/20 00:09:00+00,2025/09/20 00:22:00+00,810248717,
403455.752400003,132460.885600001,25140431,2025/09/14 02:05:00+00,EVENING,OTHERS,ROBBERY,2400 - 2499 BLOCK OF 33RD STREET SE,403455.75244916,132460.885560354,7,7B,6.0,606.0,Cluster 35,007603 2,7603.0,Precinct 113,38.8599561789,-76.9601837689,,2025/09/14 00:53:00+00,2025/09/14 01:10:00+00,810248966,
399948.956299998,138470.7531,25144130,2025/09/21 00:58:00+00,EVENING,GUN,ROBBERY,4TH STREET NE AND S STREET NE,399948.95634991,138470.75308593,5,5F,5.0,502.0,Cluster 21,008702 3,8702.0,Precinct 75,38.9141021297,-77.0005885574,,2025/09/20 22:56:00+00,2025/09/20 23:40:00+00,810249083,
399074.969999999,138792.190000001,25145010,2025/09/22 18:45:09+00,DAY,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF U STREET NW,399074.97,138792.19,5,5E,3.0,306.0,Cluster 21,003301 2,3301.0,Precinct 135,38.9169972552,-77.0106664658,,2025/09/22 16:15:00+00,2025/09/22 17:20:00+00,810249084,
398469.82,134448.469999999,25146595,2025/09/25 16:57:43+00,DAY,OTHERS,THEFT F/AUTO,900 - 1199 BLOCK OF 4TH STREET SW,398469.82,134448.47,6,6D,1.0,105.0,Cluster 9,010201 1,10201.0,Precinct 142,38.8778666066,-77.0176347386,SOUTHWEST,2025/09/17 21:52:00+00,2025/09/25 16:29:00+00,810249085,
394459.18,141888.039999999,25147968,2025/09/27 23:15:14+00,EVENING,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,394459.18,141888.04,3,3F,2.0,203.0,Cluster 12,001303 1,1303.0,Precinct 34,38.9448686362,-77.0639158491,,2025/09/27 22:32:00+00,2025/09/27 23:20:00+00,810249086,
396307.810000002,137533.789999999,25147989,2025/09/28 00:27:02+00,EVENING,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF M STREET NW,396307.81,137533.79,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17,38.9056538923,-77.0425676537,GOLDEN TRIANGLE,2025/09/27 23:00:00+00,2025/09/28 00:00:00+00,810249087,
398315.719999999,137185.25,25148586,2025/09/29 04:33:54+00,MIDNIGHT,OTHERS,THEFT/OTHER,500 - 599 BLOCK OF K STREET NW,398315.72,137185.25,6,6E,1.0,101.0,Cluster 8,004702 4,4702.0,Precinct 1,38.9025202624,-77.0194173908,MOUNT VERNON TRIANGLE CID,2025/09/29 03:54:00+00,2025/09/29 04:33:00+00,810249088,
