X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
397229.100000001,138975.93,25136438,2025/09/06 21:20:35+00,EVENING,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF 14TH STREET NW,397229.1,138975.93,1,1B,3.0,305.0,Cluster 3,004401 2,4401.0,Precinct 22,38.9186485641,-77.0319518232,,2025/09/06 20:51:00+00,2025/09/06 21:00:00+00,810422214,
400042.311999999,130518.9703,25136776,2025/09/07 16:03:52+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3200 - 3299 BLOCK OF 5TH STREET SE,400042.311965992,130518.970294552,8,8C,7.0,705.0,Cluster 39,009804 2,9804.0,Precinct 122,38.8424693516,-76.9995126126,,2025/09/07 13:45:00+00,,810422559,
395250.18,137031.09,25137290,2025/09/08 17:04:29+00,DAY,OTHERS,THEFT F/AUTO,900 - 923 BLOCK OF 26TH STREET NW,395250.18,137031.09,2,2A,2.0,207.0,Cluster 5,005601 1,5601.0,Precinct 3,38.9011203151,-77.0547577042,,2025/09/08 12:30:00+00,2025/09/08 15:00:00+00,810422560,
400233.789999999,136927.879999999,25138432,2025/09/10 18:30:42+00,DAY,OTHERS,MOTOR VEHICLE THEFT,600 - 699 BLOCK OF H STREET NE,400233.79,136927.88,6,6C,1.0,104.0,Cluster 25,010602 2,10602.0,Precinct 83,38.9002033642,-76.9973048161,,2025/09/10 11:45:00+00,2025/09/10 15:58:00+00,810422561,
402335.710000001,132676.670000002,25140750,2025/09/14 18:51:44+00,DAY,OTHERS,THEFT F/AUTO,2301 - 2399 BLOCK OF GOOD HOPE COURT SE,402335.71,132676.67,8,8A,6.0,607.0,Cluster 34,007605 3,7605.0,Precinct 112,38.8619037431,-76.9730878567,,2025/09/14 17:52:00+00,2025/09/14 18:22:00+00,810422576,
400840.659999996,139142.940000001,25143185,2025/09/19 08:35:00+00,MIDNIGHT,OTHERS,THEFT/OTHER,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,400840.66,139142.94,5,5C,5.0,505.0,Cluster 22,009102 3,9102.0,Precinct 72,38.9201570109,-76.9903059701,,2025/09/19 08:27:00+00,2025/09/19 08:35:00+00,810422577,
397171.109999999,137408.25,25145031,2025/09/22 19:18:58+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2.0,207.0,Cluster 8,010100 3,10100.0,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2025/09/22 18:51:00+00,2025/09/22 19:19:00+00,810422578,
399414.210000001,142079.760000002,25146642,2025/09/25 19:01:28+00,EVENING,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF ALLISON STREET NE,399414.21,142079.76,5,5A,4.0,405.0,Cluster 19,009510 1,9510.0,Precinct 44,38.9466129821,-77.0067575157,,2025/09/21 22:45:00+00,2025/09/22 10:00:00+00,810422579,
397979.880000003,140183.57,25147664,2025/09/27 10:41:59+00,MIDNIGHT,OTHERS,THEFT F/AUTO,3100 - 3199 BLOCK OF GEORGIA AVENUE NW,397979.88,140183.57,1,1E,4.0,409.0,Cluster 2,003100 1,3100.0,Precinct 38,38.9295294163,-77.0232979775,,2025/09/27 10:25:00+00,2025/09/27 10:42:00+00,810422580,
402707.0,134220.5,25139893,2025/09/13 02:15:03+00,EVENING,OTHERS,THEFT/OTHER,2700 - 2799 BLOCK OF FAIRLAWN AVENUE SE,402707.0,134220.5,7,7B,6.0,605.0,Cluster 34,007709 1,7709.0,Precinct 111,38.8758101274,-76.9688037601,,2025/09/13 01:44:00+00,2025/09/13 02:14:00+00,810422940,
399658.200000003,138304.129999999,25146970,2025/09/26 05:29:33+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,160 - 199 BLOCK OF R STREET NE,399658.2,138304.13,5,5F,5.0,502.0,Cluster 21,008702 2,8702.0,Precinct 75,38.9126010679,-77.0039410325,NOMA,2025/09/26 03:49:00+00,2025/09/26 04:56:00+00,810423110,
397694.829999998,146283.34,25148377,2025/09/28 20:48:40+00,EVENING,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,397694.83,146283.34,4,4A,4.0,401.0,Cluster 16,001600 1,1600.0,Precinct 62,38.9844770368,-77.0266059526,,2025/09/28 19:15:00+00,2025/09/28 20:10:00+00,810423111,
400838.620899998,132067.4619,25423838,2025/09/04 13:02:09+00,DAY,OTHERS,THEFT/OTHER,2600 - 2657 BLOCK OF DOUGLASS PLACE SE,400838.620894731,132067.461943989,8,8B,7.0,703.0,Cluster 37,007406 1,7406.0,Precinct 118,38.8564184415,-76.9903381194,,2025/08/28 20:30:00+00,2025/08/29 20:30:00+00,810423345,
397430.659999996,136664.370000001,25423959,2025/09/11 11:31:30+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2.0,209.0,Cluster 8,005802 1,5802.0,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2025/09/10 20:41:00+00,2025/09/10 20:56:00+00,810423346,
396558.409999996,139123.190000001,25424122,2025/09/24 13:02:06+00,DAY,OTHERS,THEFT/OTHER,2120 - 2323 BLOCK OF ONTARIO ROAD NW,396558.41,139123.19,1,1C,3.0,303.0,Cluster 1,003801 2,3801.0,Precinct 24,38.9199727596,-77.0396864261,,2025/09/22 15:50:00+00,2025/09/23 02:00:00+00,810423347,
399323.539999999,138138.68,25423853,2025/09/04 14:32:34+00,DAY,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF Q STREET NE,399323.54,138138.68,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75,38.9111104443,-77.0077995761,,2025/09/01 20:15:00+00,2025/09/02 20:16:00+00,810423367,
396835.859999999,139570.98,25423952,2025/09/10 21:33:20+00,EVENING,OTHERS,THEFT/OTHER,2600 - 2699 BLOCK OF 16TH STREET NW,396835.86,139570.98,1,1C,,,Cluster 2,003802 2,3802.0,Precinct 35,38.9240076386,-77.0364890975,,2025/09/09 18:25:00+00,2025/09/09 21:25:00+00,810423368,
398358.530000001,137450.420000002,25423990,2025/09/13 12:31:27+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 5TH STREET NW,398358.53,137450.42,2,2G,3.0,308.0,Cluster 8,004802 2,4802.0,Precinct 18,38.9049090881,-77.0189244852,,2025/08/25 21:20:00+00,2025/08/25 21:40:00+00,810423369,
398739.75,142585.899999999,25423976,2025/09/12 11:02:58+00,DAY,OTHERS,THEFT/OTHER,200 - 299 BLOCK OF FARRAGUT STREET NW,398739.75,142585.9,4,4D,4.0,407.0,Cluster 18,002202 1,2202.0,Precinct 57,38.9511717224,-77.0145388345,,2025/09/11 22:25:00+00,2025/09/11 22:30:00+00,810423519,
392485.0,137906.75,25424028,2025/09/16 15:01:25+00,DAY,OTHERS,THEFT/OTHER,4531 - 4549 BLOCK OF MACARTHUR BOULEVARD NW,392485.0,137906.75,3,3D,,,Cluster 13,000802 1,802.0,Precinct 7,38.9089892727,-77.0866453008,,2025/09/15 16:10:00+00,2025/09/15 16:40:00+00,810423520,
398010.079999998,138818.940000001,25134747,2025/09/03 21:49:09+00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3.0,305.0,Cluster 3,003500 3,3500.0,Precinct 37,38.917236462,-77.0229457261,,2025/09/03 21:05:00+00,2025/09/03 21:36:00+00,810423534,
393645.649999999,140765.550000001,25138849,2025/09/11 13:06:31+00,DAY,OTHERS,THEFT/OTHER,3700 - 3749 BLOCK OF NEWARK STREET NW,393645.65,140765.55,3,3A,2.0,204.0,Cluster 14,001002 4,1002.0,Precinct 29,38.934751414,-77.0732898841,,2025/09/11 12:00:00+00,2025/09/11 12:11:00+00,810423535,
400132.740000002,143575.32,25139192,2025/09/11 23:25:43+00,EVENING,OTHERS,THEFT F/AUTO,530 - 599 BLOCK OF NICHOLSON STREET NE,400132.74,143575.32,4,4B,4.0,406.0,Cluster 19,009507 1,9507.0,Precinct 65,38.9600855734,-76.9984684576,,2025/09/11 17:00:00+00,2025/09/11 17:29:00+00,810423536,
398186.039999999,137185.329999998,25141144,2025/09/15 15:12:08+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF K STREET NW,398186.04,137185.33,6,6E,1.0,101.0,Cluster 8,004703 2,4703.0,Precinct 18,38.902520725,-77.0209124198,MOUNT VERNON TRIANGLE CID,2025/09/15 12:58:00+00,2025/09/15 14:27:00+00,810423537,
395814.710000001,138839.859999999,25141976,2025/09/16 23:02:00+00,EVENING,OTHERS,THEFT F/AUTO,2100 - 2199 BLOCK OF WYOMING AVENUE NW,395814.71,138839.86,2,2D,2.0,208.0,Cluster 1,004100 2,4100.0,Precinct 13,38.9174172032,-77.0482606159,,2025/09/16 13:20:00+00,2025/09/16 16:10:00+00,810423538,
402808.880000003,132407.5,25142767,2025/09/18 17:11:35+00,DAY,KNIFE,ROBBERY,2700 - 2845 BLOCK OF ALABAMA AVENUE SE,402808.88,132407.5,7,7B,6.0,606.0,Cluster 35,007603 2,7603.0,Precinct 113,38.8594775631,-76.9676370731,,2025/09/18 15:01:00+00,2025/09/18 16:55:00+00,810423539,
396171.049999997,137945.800000001,25135108,2025/09/04 14:19:13+00,DAY,OTHERS,THEFT/OTHER,1 - 7 BLOCK OF DUPONT CIRCLE NW,396171.05,137945.8,2,2B,2.0,208.0,Cluster 6,005502 3,5502.0,Precinct 14,38.9093648355,-77.0441466713,DUPONT CIRCLE,2025/09/04 13:47:00+00,2025/09/04 13:50:00+00,810423674,
396585.5,140525.629999999,25136713,2025/09/07 12:23:43+00,DAY,OTHERS,THEFT F/AUTO,1700 - 1733 BLOCK OF PARK ROAD NW,396585.5,140525.63,1,1D,3.0,302.0,Cluster 2,002703 2,2703.0,Precinct 40,38.9326064855,-77.0393810165,,2025/09/06 06:00:00+00,2025/09/06 12:00:00+00,810423675,
397171.109999999,137408.25,25137631,2025/09/09 03:21:40+00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2.0,207.0,Cluster 8,010100 3,10100.0,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2025/09/09 01:30:00+00,2025/09/09 02:02:00+00,810423676,
406954.549599998,136443.191399999,25139014,2025/09/11 18:11:21+00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,5600 - 5699 BLOCK OF EADS STREET NE,406954.549572407,136443.19142005,7,7C,6.0,608.0,Cluster 31,007808 3,7808.0,Precinct 95,38.8958096364,-76.9198313104,,2025/09/11 17:15:00+00,2025/09/11 18:11:00+00,810423677,
398099.700000003,138672.41,25139518,2025/09/12 16:33:36+00,DAY,OTHERS,BURGLARY,1900 - 1999 BLOCK OF 7TH STREET NW,398099.7,138672.41,1,1B,3.0,306.0,Cluster 3,004801 2,4801.0,Precinct 137,38.9159166696,-77.0219119142,,2025/09/12 13:38:00+00,2025/09/12 16:29:00+00,810423678,
397221.219999999,145936.440000001,25140610,2025/09/14 12:12:48+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1310 - 1399 BLOCK OF HEMLOCK STREET NW,397221.22,145936.44,4,4A,4.0,401.0,Cluster 16,001600 3,1600.0,Precinct 62,38.981350716,-77.0320708866,,2025/09/14 10:30:00+00,2025/09/14 12:12:00+00,810423679,
400335.109999999,131003.329999998,25140057,2025/09/13 09:46:46+00,MIDNIGHT,OTHERS,THEFT/OTHER,2730 - 2899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400335.11,131003.33,8,8C,7.0,707.0,Cluster 39,010400 3,10400.0,Precinct 123,38.8468326159,-76.9961396645,,2025/09/13 09:07:00+00,2025/09/13 09:45:00+00,810424040,
395540.119999997,137133.82,25140482,2025/09/14 03:28:48+00,MIDNIGHT,OTHERS,THEFT/OTHER,900 - 1010 BLOCK OF 24TH STREET NW,395540.12,137133.82,2,2A,2.0,207.0,Cluster 5,005601 3,5601.0,Precinct 3,38.9020472622,-77.051415835,,2025/09/13 22:20:00+00,2025/09/13 22:21:00+00,810424041,
397228.310000002,137253.239999998,25149019,2025/09/30 00:18:54+00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 14TH STREET NW,397228.31,137253.24,2,2C,2.0,209.0,Cluster 8,010100 3,10100.0,Precinct 129,38.9031299841,-77.0319539795,DOWNTOWN,2025/09/29 04:00:00+00,2025/09/30 00:22:00+00,810424743,
