X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
398654.119999997,138409.18,25423819,2025/09/04 11:31:28+00,DAY,OTHERS,THEFT/OTHER,231 - 318 BLOCK OF FLORIDA AVENUE NW,398654.12,138409.18,5,5E,3.0,308.0,Cluster 21,003400 3,3400.0,Precinct 19,38.9135464297,-77.0155185112,,2025/08/23 00:23:00+00,2025/08/24 00:35:00+00,810428179,
400754.280000001,141106.02,25135813,2025/09/06 01:22:04+00,EVENING,OTHERS,THEFT F/AUTO,1100 - 1179 BLOCK OF MICHIGAN AVENUE NE,400754.28,141106.02,5,5B,4.0,405.0,Cluster 20,009504 1,9504.0,Precinct 68,38.9378411234,-76.9912998995,,2025/09/05 17:53:00+00,2025/09/05 19:59:00+00,810428259,
399823.159999996,137425.670000002,25136376,2025/09/06 21:07:31+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 3RD STREET NE,399823.16,137425.67,6,6C,5.0,501.0,Cluster 25,010602 4,10602.0,Precinct 144,38.9046876463,-77.0020387796,NOMA,2025/09/06 02:15:00+00,2025/09/06 03:30:00+00,810428260,
395459.119999997,137490.27,25136795,2025/09/07 16:46:22+00,DAY,OTHERS,THEFT/OTHER,2400 - 2499 BLOCK OF M STREET NW,395459.12,137490.27,2,2A,2.0,207.0,Cluster 5,005503 2,5503.0,Precinct 4,38.9052578743,-77.0523520019,,2025/09/07 14:45:00+00,2025/09/07 15:45:00+00,810428261,
399996.630000003,136928.039999999,25137738,2025/09/09 12:35:55+00,DAY,OTHERS,BURGLARY,400 - 499 BLOCK OF H STREET NE,399996.63,136928.04,6,6C,1.0,104.0,Cluster 25,010602 3,10602.0,Precinct 83,38.9002048367,-77.0000388501,,2025/09/09 06:00:00+00,2025/09/09 10:34:00+00,810428262,
401978.560000002,140078.66,25139464,2025/09/12 14:50:50+00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,1805 - 1999 BLOCK OF RHODE ISLAND AVENUE NE,401978.56,140078.66,5,5C,5.0,505.0,Cluster 22,011100 2,11100.0,Precinct 72,38.9285844491,-76.977181635,,2025/09/12 13:12:00+00,2025/09/12 13:15:00+00,810428263,
402817.799999997,132471.609999999,25140716,2025/09/14 18:03:12+00,DAY,OTHERS,THEFT/OTHER,2721 - 2899 BLOCK OF MARION BARRY AVENUE SE,402817.8,132471.61,7,7B,6.0,606.0,Cluster 35,007604 3,7604.0,Precinct 113,38.8600550644,-76.9675340373,,2025/09/14 16:01:00+00,2025/09/14 17:17:00+00,810428264,
400435.969999999,140443.640000001,25141165,2025/09/15 14:33:24+00,DAY,OTHERS,THEFT/OTHER,3400 - 3499 BLOCK OF 8TH STREET NE,400435.97,140443.64,5,5F,5.0,502.0,Cluster 21,009201 1,9201.0,Precinct 74,38.9318744209,-76.994971807,,2025/09/15 13:31:00+00,2025/09/22 14:00:00+00,810428265,
407304.93,136672.940000001,25142121,2025/09/17 07:30:18+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,614 - 629 BLOCK OF EASTERN AVENUE NE,407304.93,136672.94,7,7C,6.0,608.0,Cluster 31,007807 1,7807.0,Precinct 95,38.8978764525,-76.9157898532,,2025/09/17 04:32:00+00,2025/09/17 07:23:00+00,810428285,
397163.18,142304.190000001,25142875,2025/09/18 19:54:07+00,EVENING,OTHERS,THEFT/OTHER,4800 - 4813 BLOCK OF 14TH STREET NW,397163.18,142304.19,4,4E,4.0,404.0,Cluster 18,002002 1,2002.0,Precinct 54,38.9486303248,-77.0327257186,,2025/09/18 14:00:00+00,2025/09/18 19:25:00+00,810428286,
395165.259999998,140996.48,25144509,2025/09/21 18:10:01+00,DAY,OTHERS,THEFT F/AUTO,2600 - 2899 BLOCK OF QUEBEC STREET NW,395165.26,140996.48,3,3C,2.0,203.0,Cluster 15,001304 4,1304.0,Precinct 34,38.9368413761,-77.0557646187,,2025/09/21 02:00:00+00,2025/09/21 16:00:00+00,810428287,
400754.280000001,141106.02,25146499,2025/09/25 13:18:22+00,DAY,OTHERS,THEFT F/AUTO,1100 - 1179 BLOCK OF MICHIGAN AVENUE NE,400754.28,141106.02,5,5B,4.0,405.0,Cluster 20,009504 1,9504.0,Precinct 68,38.9378411234,-76.9912998995,,2025/09/24 12:00:00+00,2025/09/24 19:35:00+00,810428288,
398358.149999999,137251.899999999,25146584,2025/09/25 16:21:15+00,DAY,OTHERS,THEFT/OTHER,1000 - 1089 BLOCK OF 5TH STREET NW,398358.15,137251.9,6,6E,1.0,101.0,Cluster 8,004703 2,4703.0,Precinct 1,38.9031207494,-77.0189283916,MOUNT VERNON TRIANGLE CID,2025/09/25 15:11:00+00,2025/09/25 16:30:00+00,810428289,
399215.0,138080.41,25137586,2025/09/09 01:05:26+00,EVENING,OTHERS,THEFT/OTHER,1521 - 1589 BLOCK OF NORTH CAPITOL STREET,399215.0,138080.41,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19,38.9105854381,-77.0090509745,,2025/07/07 19:00:00+00,2025/07/21 14:30:00+00,810428290,
401590.259999998,136811.129999999,25138844,2025/09/11 12:54:51+00,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 16TH STREET NE,401590.26,136811.13,7,7D,5.0,507.0,Cluster 25,007901 4,7901.0,Precinct 81,38.899150231,-76.9816673943,,2025/09/09 11:00:00+00,2025/09/09 12:07:00+00,810428291,
397431.219999999,138854.609999999,25140328,2025/09/13 23:02:39+00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 13TH STREET NW,397431.22,138854.61,1,1B,3.0,305.0,Cluster 3,004401 2,4401.0,Precinct 22,38.9175562877,-77.0296206817,,2025/09/13 21:00:00+00,2025/09/13 22:16:00+00,810428292,
400233.810000002,137319.120000001,25146258,2025/09/24 22:52:57+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF L STREET NE,400233.81,137319.12,6,6C,5.0,501.0,Cluster 25,010602 2,10602.0,Precinct 83,38.9037277932,-76.9973044524,,2025/09/24 21:05:00+00,2025/09/24 21:15:00+00,810428354,
397004.689999998,138674.25,25146392,2025/09/25 04:09:16+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1900 - 1919 BLOCK OF 15TH STREET NW,397004.69,138674.25,2,2B,3.0,301.0,Cluster 6,004300 1,4300.0,Precinct 141,38.915930195,-77.0345382251,,2025/09/25 02:22:00+00,2025/09/26 03:30:00+00,810428355,
402239.990000002,137071.120000001,25148141,2025/09/28 05:55:19+00,MIDNIGHT,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF 21ST STREET NE,402239.99,137071.12,5,5D,5.0,507.0,Cluster 23,008904 2,8904.0,Precinct 79,38.9014908984,-76.9741764233,,2025/09/28 05:21:00+00,2025/09/28 05:48:00+00,810428356,
402062.700000003,137062.989999998,25149004,2025/09/29 23:45:28+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,830 - 899 BLOCK OF 19TH STREET NE,402062.7,137062.99,5,5D,5.0,507.0,Cluster 23,008904 2,8904.0,Precinct 79,38.9014180943,-76.9762203236,,2025/09/28 12:00:00+00,2025/09/28 13:30:00+00,810428357,
401980.689999998,139268.640000001,25149420,2025/09/30 22:04:22+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1815 - 1999 BLOCK OF BRYANT STREET NE,401980.69,139268.64,5,5C,5.0,505.0,Cluster 22,011100 3,11100.0,Precinct 72,38.9212875273,-76.9771594074,,2025/09/30 18:49:00+00,2025/09/30 20:09:00+00,810428358,
397769.619999997,144596.23,25133846,2025/09/03 18:49:25+00,DAY,OTHERS,THEFT F/AUTO,6500 - 6599 BLOCK OF PINEY BRANCH ROAD NW,397769.62,144596.23,4,4B,4.0,402.0,Cluster 17,001901 4,1901.0,Precinct 59,38.969279362,-77.025737247,,2025/09/02 10:50:00+00,2025/09/02 11:00:00+00,810428490,
403587.972999997,135089.320700001,25136306,2025/09/06 19:58:05+00,EVENING,OTHERS,THEFT/OTHER,3300 - 3399 BLOCK OF ELY PLACE SE,403587.973025283,135089.320730794,7,7B,6.0,603.0,Cluster 32,007708 2,7708.0,Precinct 132,38.8836336498,-76.9586466414,,2025/09/06 15:49:00+00,2025/09/06 16:27:00+00,810428492,
399884.990000002,141428.23,25137430,2025/09/09 01:44:57+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,400 - 490 BLOCK OF TAYLOR STREET NE,399884.99,141428.23,5,5A,4.0,405.0,Cluster 19,009510 3,9510.0,Precinct 44,38.9407440017,-77.0013266152,,2025/09/08 20:06:00+00,2025/09/08 21:46:00+00,810428493,
401745.399999999,133453.34,25140672,2025/09/14 17:40:48+00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,1700 - 1799 BLOCK OF MINNESOTA AVENUE SE,401745.4,133453.34,8,8A,6.0,607.0,Cluster 34,007601 4,7601.0,Precinct 133,38.8689016764,-76.9798874601,,2025/09/14 14:30:00+00,2025/09/14 16:39:00+00,810428995,
400433.469999999,141712.890000001,25142316,2025/09/18 17:39:44+00,DAY,OTHERS,THEFT F/AUTO,4400 - 4499 BLOCK OF 8TH STREET NE,400433.47,141712.89,5,5A,4.0,405.0,Cluster 20,009504 2,9504.0,Precinct 67,38.9433082016,-76.9949998386,,2025/09/17 17:33:00+00,2025/09/17 18:21:00+00,810428996,
400541.301200002,134906.7797,25142535,2025/09/18 01:01:01+00,EVENING,OTHERS,THEFT F/AUTO,500 - 699 BLOCK OF 9TH STREET SE,400541.301150455,134906.779738624,6,6B,1.0,106.0,Cluster 26,007000 2,7000.0,Precinct 90,38.8819964043,-76.9937613505,CAPITOL HILL,2025/09/17 21:00:00+00,2025/09/18 00:29:00+00,810428997,
