X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
394459.18,141888.039999999,25141276,2025/09/15 18:18:19+00,DAY,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,394459.18,141888.04,3,3F,2.0,203.0,Cluster 12,001303 1,1303.0,Precinct 34,38.9448686362,-77.0639158491,,2025/09/15 17:25:00+00,2025/09/15 17:26:00+00,810220811,
392646.210000001,143462.780000001,25147905,2025/09/27 21:16:12+00,EVENING,OTHERS,THEFT F/AUTO,WISCONSIN AVENUE NW AND JENIFER STREET NW,392646.21000713,143462.78003456,3,3E,2.0,202.0,Cluster 11,001004 1,1004.0,Precinct 31,38.9590410095,-77.0848461457,FRIENDSHIP HEIGHTS,2025/09/26 23:45:00+00,2025/09/27 00:00:00+00,810221109,
406466.364500001,137166.0458,25147970,2025/09/27 23:48:38+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,900 - 919 BLOCK OF 52ND STREET NE,406466.364547954,137166.045756721,7,7C,6.0,608.0,Cluster 31,007809 1,7809.0,Precinct 94,38.9023250928,-76.9254520644,,2025/09/27 21:49:00+00,2025/09/27 23:39:00+00,810221110,
397694.829999998,146283.34,25148293,2025/09/29 09:14:48+00,MIDNIGHT,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,397694.83,146283.34,4,4A,4.0,401.0,Cluster 16,001600 1,1600.0,Precinct 62,38.9844770368,-77.0266059526,,2025/09/28 16:26:00+00,2025/09/28 17:30:00+00,810221111,
397298.270000003,145984.059999999,25149380,2025/09/30 18:18:22+00,DAY,OTHERS,THEFT/OTHER,7511 - 7599 BLOCK OF MORNINGSIDE DRIVE NW,397298.27,145984.06,4,4A,4.0,401.0,Cluster 16,001600 3,1600.0,Precinct 62,38.9817799277,-77.031181813,,2025/09/30 16:00:00+00,,810221112,
401799.859999999,141872.309999999,25144534,2025/09/21 19:14:34+00,EVENING,OTHERS,THEFT F/AUTO,1800 - 1897 BLOCK OF MICHIGAN AVENUE NE,401799.86,141872.31,5,5B,5.0,503.0,Cluster 20,009400 1,9400.0,Precinct 69,38.9447425656,-76.9792378442,,2025/09/21 17:45:00+00,2025/09/21 19:00:00+00,810221201,
395767.969999999,138059.030000001,25145485,2025/09/23 18:47:05+00,DAY,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF 22ND STREET NW,395767.97,138059.03,2,2B,2.0,208.0,Cluster 6,005502 1,5502.0,Precinct 14,38.9103830015,-77.0487947625,,2025/09/23 15:20:00+00,2025/09/23 16:00:00+00,810221202,
393571.579999998,144526.719999999,25145726,2025/09/23 22:56:38+00,EVENING,OTHERS,THEFT F/AUTO,3600 - 3699 BLOCK OF QUESADA STREET NW,393571.58,144526.72,3,3/4G,2.0,201.0,Cluster 10,001401 2,1401.0,Precinct 50,38.9686325036,-77.0741794436,,2025/09/23 20:30:00+00,2025/09/23 20:32:00+00,810221203,
399610.399999999,140102.239999998,25146509,2025/09/25 16:16:14+00,DAY,OTHERS,THEFT F/AUTO,100 - 379 BLOCK OF MICHIGAN AVENUE NE,399610.4,140102.24,5,5E,4.0,405.0,Cluster 21,002302 2,2302.0,Precinct 44,38.9287990063,-77.0044931979,,2025/09/17 20:00:00+00,2025/09/24 12:00:00+00,810221204,
406073.289999999,137906.370000001,25146985,2025/09/26 05:21:45+00,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,1400 - 1425 BLOCK OF EASTERN AVENUE NE,406073.29,137906.37,7,7C,6.0,602.0,Cluster 31,007806 1,7806.0,Precinct 93,38.9089969939,-76.9299771033,,2025/09/26 04:11:00+00,,810221205,
