X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
397229.100000001,138975.93,25149003,2025/09/29 23:40:51+00,EVENING,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF 14TH STREET NW,397229.1,138975.93,1,1B,3.0,305.0,Cluster 3,004401 2,4401.0,Precinct 22,38.9186485641,-77.0319518232,,2025/09/29 23:05:00+00,2025/09/29 23:11:00+00,810335226,
405571.649999999,136802.07,25149877,2025/10/01 18:44:22+00,DAY,OTHERS,THEFT/OTHER,4600 - 4699 BLOCK OF GAULT PLACE NE,405571.65,136802.07,7,7C,6.0,602.0,Cluster 30,007804 1,7804.0,Precinct 98,38.8990523964,-76.9357697923,,2025/10/01 02:00:00+00,2025/10/01 12:00:00+00,810335227,
401418.869999997,136044.789999999,25150112,2025/10/02 01:17:25+00,EVENING,OTHERS,THEFT/OTHER,200 - 208 BLOCK OF 15TH STREET NE,401418.87,136044.79,7,7D,1.0,108.0,Cluster 25,008002 2,8002.0,Precinct 86,38.8922470537,-76.9836447705,,2025/10/01 12:00:00+00,2025/10/01 19:00:00+00,810335228,
398101.219999999,138793.82,25150461,2025/10/02 17:08:26+00,DAY,OTHERS,THEFT F/AUTO,2000 - 2099 BLOCK OF GEORGIA AVENUE NW,398101.22,138793.82,1,1B,3.0,306.0,Cluster 3,003400 2,3400.0,Precinct 37,38.9170103743,-77.0218947232,,2025/10/02 14:30:00+00,2025/10/02 17:08:00+00,810335229,
405881.990000002,137071.75,25136766,2025/09/07 17:29:14+00,DAY,OTHERS,ROBBERY,4824 - 4899 BLOCK OF JAY STREET NE,405881.99,137071.75,7,7C,6.0,602.0,Cluster 31,007809 2,7809.0,Precinct 94,38.901479748,-76.9321898721,,2025/09/07 14:24:00+00,2025/09/07 16:30:00+00,810335236,
397655.259999998,139709.670000002,25137267,2025/09/09 18:39:50+00,DAY,OTHERS,THEFT F/AUTO,2700 - 2799 BLOCK OF 11TH STREET NW,397655.26,139709.67,1,1A,3.0,304.0,Cluster 2,003500 1,3500.0,Precinct 37,38.9252595706,-77.0270401902,,2025/09/08 13:49:00+00,2025/09/08 15:55:00+00,810335237,
397904.579999998,138904.670000002,25137356,2025/09/08 18:02:41+00,DAY,OTHERS,THEFT/OTHER,900 - 913 BLOCK OF FLORIDA AVENUE NW,397904.58,138904.67,1,1B,3.0,305.0,Cluster 3,004401 3,4401.0,Precinct 137,38.9180085008,-77.024162506,,2025/09/06 06:00:00+00,2025/09/08 17:59:00+00,810335238,
392884.200000003,139893.809999999,25139005,2025/09/11 17:48:26+00,DAY,OTHERS,THEFT/OTHER,2800 - 2899 BLOCK OF NEW MEXICO AVENUE NW,392884.2,139893.81,3,3B,2.0,204.0,Cluster 14,000703 2,703.0,Precinct 28,38.9268926783,-77.082063263,,2025/09/10 09:00:00+00,2025/09/11 09:30:00+00,810335239,
394450.619999997,137863.91,25139288,2025/09/12 05:57:05+00,MIDNIGHT,OTHERS,THEFT/OTHER,1401 - 1498 BLOCK OF WISCONSIN AVENUE NW,394450.62,137863.91,2,2E,2.0,206.0,Cluster 4,000102 2,102.0,Precinct 5,38.9086179637,-77.0639820577,GEORGETOWN,2025/09/12 01:32:00+00,2025/09/12 01:35:00+00,810335240,
394544.369999997,141442.109999999,25139354,2025/09/12 05:50:51+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3000 - 3029 BLOCK OF TILDEN STREET NW,394544.37,141442.11,3,3C,2.0,203.0,Cluster 12,000600 1,600.0,Precinct 27,38.940852105,-77.0629295985,,2025/09/12 05:22:00+00,2025/09/12 05:30:00+00,810335241,
