X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399930.5,143088.280000001,25137754,2025/09/09 13:26:18+00,DAY,OTHERS,THEFT/OTHER,5500 - 5529 BLOCK OF SOUTH DAKOTA AVENUE NE,399930.5,143088.28,4,4B,4.0,406.0,Cluster 19,009507 1,9507.0,Precinct 65,38.9556981975,-77.0008018355,,2025/09/09 11:48:00+00,2025/09/09 11:50:00+00,810225439,
401147.600000001,134664.5,25139066,2025/09/11 20:16:18+00,EVENING,OTHERS,ROBBERY,1330 - 1399 BLOCK OF POTOMAC AVENUE SE,401147.6,134664.5,6,6B,1.0,106.0,Cluster 26,007100 3,7100.0,Precinct 91,38.879813272,-76.9867739886,,2025/09/11 18:50:00+00,2025/09/11 19:00:00+00,810225440,
400801.504900001,129945.409600001,25139098,2025/09/11 22:29:35+00,EVENING,OTHERS,THEFT/OTHER,900 - 1299 BLOCK OF VALLEY AVENUE SE,400801.504894697,129945.40962202,8,8E,7.0,706.0,Cluster 39,009700 3,9700.0,Precinct 121,38.8373020946,-76.990768211,,2025/09/11 19:48:00+00,2025/09/11 20:22:00+00,810225441,
404705.810000002,133118.0,25139402,2025/09/12 13:14:02+00,DAY,OTHERS,ROBBERY,1562 - 1699 BLOCK OF FORT DUPONT STREET SE,404705.81,133118.0,7,7B,6.0,605.0,Cluster 34,009902 2,9902.0,Precinct 110,38.8658699384,-76.9457764548,,2025/09/12 10:26:00+00,2025/09/12 11:40:00+00,810225442,
397904.399999999,140846.07,25139504,2025/09/12 15:15:47+00,DAY,OTHERS,THEFT/OTHER,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,397904.4,140846.07,1,1E,4.0,409.0,Cluster 2,003100 2,3100.0,Precinct 43,38.9354972411,-77.0241705089,,2025/09/12 14:36:00+00,,810225443,
398010.079999998,138818.940000001,25141894,2025/09/16 20:53:03+00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3.0,305.0,Cluster 3,003500 3,3500.0,Precinct 37,38.917236462,-77.0229457261,,2025/09/16 19:41:00+00,2025/09/16 20:53:00+00,810225444,
406453.8442,134892.864500001,25142399,2025/09/17 22:06:59+00,EVENING,OTHERS,THEFT/OTHER,5300 - 5399 BLOCK OF E STREET SE,406453.844195942,134892.864474611,7,7E,6.0,604.0,Cluster 33,009905 3,9905.0,Precinct 105,38.881847531,-76.9256177593,,2025/09/17 20:16:00+00,2025/09/17 21:16:00+00,810225445,
407549.305,136017.248399999,25142558,2025/09/18 02:01:38+00,EVENING,OTHERS,ROBBERY,6100 - 6199 BLOCK OF BANKS PLACE NE,407549.304996959,136017.248443655,7,7C,6.0,608.0,Cluster 31,007808 2,7808.0,Precinct 96,38.8919676806,-76.9129799415,,2025/09/18 00:40:00+00,2025/09/18 02:00:00+00,810225446,
399690.030000001,138139.170000002,25142866,2025/09/19 01:50:52+00,EVENING,OTHERS,THEFT/OTHER,150 - 299 BLOCK OF Q STREET NE,399690.03,138139.17,5,5F,5.0,502.0,Cluster 21,008702 2,8702.0,Precinct 75,38.9111150641,-77.0035739508,NOMA,2025/09/18 18:08:00+00,2025/09/18 19:50:00+00,810225447,
401351.142999999,130628.6811,25142895,2025/09/19 04:32:00+00,MIDNIGHT,OTHERS,THEFT F/AUTO,3300 - 3399 BLOCK OF 14TH PLACE SE,401351.142975207,130628.681110654,8,8E,7.0,705.0,Cluster 38,007304 4,7304.0,Precinct 120,38.843456639,-76.9844360998,,2025/09/18 18:45:00+00,2025/09/18 21:27:00+00,810225448,
