X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
397115.780000001,137977.23,25424111,2025/09/24 12:01:35+00,DAY,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,397115.78,137977.23,2,2F,2.0,208.0,Cluster 7,005203 2,5203.0,Precinct 16,38.9096515756,-77.0332543444,,2025/09/22 17:30:00+00,2025/09/22 18:30:00+00,810432973,
400134.130000003,135232.800000001,25423917,2025/09/10 11:31:46+00,DAY,OTHERS,THEFT F/AUTO,308 - 399 BLOCK OF 6TH STREET SE,400134.13,135232.8,6,6B,1.0,107.0,Cluster 26,006500 1,6500.0,Precinct 89,38.8849334767,-76.99845405,,2025/09/01 05:00:00+00,2025/09/01 09:00:00+00,810433015,
400557.259999998,140338.5,25135196,2025/09/04 16:55:59+00,DAY,OTHERS,THEFT F/AUTO,3300 - 3399 BLOCK OF 9TH STREET NE,400557.26,140338.5,5,5B,5.0,504.0,Cluster 21,009301 2,9301.0,Precinct 73,38.930927219,-76.9935730128,,2025/09/04 15:43:00+00,2025/09/04 16:56:00+00,810433077,
404376.656300001,135223.388300002,25137194,2025/09/08 12:52:56+00,DAY,OTHERS,THEFT F/AUTO,3700 - 3899 BLOCK OF D STREET SE,404376.656258014,135223.388282918,7,7F,6.0,603.0,Cluster 32,007703 3,7703.0,Precinct 107,38.8848378094,-76.949555782,,2025/09/08 01:30:00+00,2025/09/08 10:30:00+00,810433078,
397115.780000001,137977.23,25138125,2025/09/10 01:46:30+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,397115.78,137977.23,2,2F,2.0,208.0,Cluster 7,005203 2,5203.0,Precinct 16,38.9096515756,-77.0332543444,,2025/09/10 00:31:00+00,2025/09/10 00:40:00+00,810433079,
400246.539999999,139229.039999999,25139219,2025/09/12 03:25:02+00,MIDNIGHT,OTHERS,THEFT F/AUTO,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,400246.54,139229.04,5,5F,5.0,502.0,Cluster 21,009204 2,9204.0,Precinct 74,38.9209329952,-76.9971570051,,2025/09/11 17:50:00+00,2025/09/11 18:19:00+00,810433080,
402808.880000003,132407.5,25141723,2025/09/16 18:15:45+00,DAY,OTHERS,THEFT/OTHER,2700 - 2845 BLOCK OF ALABAMA AVENUE SE,402808.88,132407.5,7,7B,6.0,606.0,Cluster 35,007604 3,7604.0,Precinct 113,38.8594775631,-76.9676370731,,2025/09/16 14:02:00+00,2025/09/16 14:40:00+00,810433081,
394088.460000001,138708.719999999,25142778,2025/09/18 17:11:03+00,DAY,OTHERS,THEFT F/AUTO,1851 - 2008 BLOCK OF WISCONSIN AVENUE NW,394088.46,138708.72,2,2E,2.0,206.0,Cluster 4,000102 1,102.0,Precinct 5,38.9162259346,-77.0681648844,,2025/09/18 15:15:00+00,2025/09/18 15:45:00+00,810433082,
397497.509999998,137532.539999999,25146099,2025/09/24 17:39:40+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF M STREET NW,397497.51,137532.54,2,2F,3.0,307.0,Cluster 8,005004 3,5004.0,Precinct 17,38.9056468241,-77.0288514716,,2025/09/24 12:44:00+00,2025/09/24 12:45:00+00,810433172,
398185.990000002,136884.629999999,25148771,2025/09/29 17:14:13+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF H STREET NW,398185.99,136884.63,2,2C,1.0,101.0,Cluster 8,005801 2,5801.0,Precinct 129,38.8998119121,-77.0209122021,DOWNTOWN,2025/09/29 16:13:00+00,2025/09/29 16:59:00+00,810433173,
