X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
406751.399999999,135469.989999998,25142139,2025/09/17 09:15:47+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,81 - 199 BLOCK OF 55TH STREET SE,406751.4,135469.99,7,7C,6.0,604.0,Cluster 33,009903 2,9903.0,Precinct 105,38.8870442626,-76.9221826825,,2025/09/17 08:39:00+00,,810339619,
400384.780000001,136927.940000001,25142294,2025/09/17 23:00:35+00,EVENING,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF H STREET NE,400384.78,136927.94,6,6A,1.0,104.0,Cluster 25,010602 2,10602.0,Precinct 83,38.9002038516,-76.9955641693,,2025/09/17 16:59:00+00,2025/09/17 17:03:00+00,810339620,
397564.030000001,137917.010000002,25143611,2025/09/19 23:55:21+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF 12TH STREET NW,397564.03,137917.01,2,2F,3.0,307.0,Cluster 7,005004 2,5004.0,Precinct 17,38.9091104498,-77.0280859193,,2025/09/19 23:15:00+00,2025/09/19 23:45:00+00,810339621,
405952.689999998,134938.989999998,25144303,2025/09/21 08:14:48+00,MIDNIGHT,GUN,ROBBERY,5000 - 5099 BLOCK OF KIMI GRAY COURT SE,405952.69,134938.99,7,7E,6.0,604.0,Cluster 33,009904 3,9904.0,Precinct 104,38.8822665832,-76.9313932906,,2025/09/21 04:03:00+00,2025/09/21 08:00:00+00,810339622,
402530.270000003,136674.149999999,25144514,2025/09/21 18:18:36+00,DAY,OTHERS,THEFT/OTHER,2500 - 2598 BLOCK OF BENNING ROAD NE,402530.27,136674.15,7,7D,5.0,507.0,Cluster 25,007903 1,7903.0,Precinct 80,38.8979140626,-76.9708314119,,2025/09/21 17:40:00+00,2025/09/21 17:55:00+00,810339623,
398099.0,136943.449999999,25134343,2025/09/03 04:09:07+00,MIDNIGHT,OTHERS,ROBBERY,800 - 899 BLOCK OF 7TH STREET NW,398099.0,136943.45,2,2C,1.0,101.0,Cluster 8,005802 5,5802.0,Precinct 129,38.9003415999,-77.0219151997,DOWNTOWN,2025/09/03 02:06:00+00,,810339647,
397265.469999999,144246.940000001,25134626,2025/09/03 19:03:12+00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF SHERIDAN STREET NW,397265.47,144246.94,4,4A,4.0,402.0,Cluster 17,001804 3,1804.0,Precinct 60,38.9661314479,-77.0315534419,,2025/09/03 00:30:00+00,2025/09/03 13:00:00+00,810339648,
401014.109999999,135140.879999999,25135819,2025/09/05 21:31:19+00,EVENING,OTHERS,THEFT/OTHER,13TH STREET SE AND D STREET SE,401014.11001489,135140.87999484,6,6B,1.0,107.0,Cluster 26,006900 2,6900.0,Precinct 91,38.8841048515,-76.9883117486,,2025/09/05 19:19:00+00,2025/09/05 19:48:00+00,810339649,
401746.219999999,136243.75,25135972,2025/09/06 00:55:13+00,EVENING,OTHERS,THEFT F/AUTO,300 - 399 BLOCK OF 17TH PLACE NE,401746.22,136243.75,7,7D,5.0,507.0,Cluster 25,007901 2,7901.0,Precinct 81,38.8940387696,-76.9798709211,,2025/09/05 17:00:00+00,2025/09/05 20:00:00+00,810339650,
397088.710000001,139298.699999999,25136391,2025/09/06 20:43:57+00,EVENING,GUN,THEFT/OTHER,1400 - 1499 BLOCK OF CHAPIN STREET NW,397088.71,139298.7,1,1B,3.0,304.0,Cluster 2,003701 2,3701.0,Precinct 23,38.9215557272,-77.033572058,,2025/09/06 19:07:00+00,2025/09/06 19:17:00+00,810339651,
