X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
393427.719999999,143911.66,25147297,2025/09/26 20:19:17+00,EVENING,OTHERS,THEFT F/AUTO,3800 - 3899 BLOCK OF LIVINGSTON STREET NW,393427.72,143911.66,3,3/4G,2.0,201.0,Cluster 10,001100 1,1100.0,Precinct 32,38.9630908287,-77.0758335902,,2025/09/26 19:07:00+00,2025/09/26 20:00:00+00,810235881,
401535.270000003,131621.84,25147617,2025/09/27 08:09:48+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,3033 - 3098 BLOCK OF STANTON ROAD SE,401535.27,131621.84,8,8C,7.0,704.0,Cluster 38,007404 1,7404.0,Precinct 117,38.8524031478,-76.9823129126,,2025/09/27 05:48:00+00,2025/09/27 08:05:00+00,810235882,
401996.009999998,136793.940000001,25147997,2025/09/28 01:06:59+00,EVENING,OTHERS,THEFT/OTHER,1800 - 1869 BLOCK OF BENNING ROAD NE,401996.01,136793.94,5,5D,5.0,507.0,Cluster 23,008904 1,8904.0,Precinct 79,38.8989945496,-76.9769899359,,2025/09/27 23:30:00+00,2025/09/27 23:55:00+00,810235883,
396917.159999996,137871.710000001,25148436,2025/09/28 22:42:27+00,EVENING,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF O STREET NW,396917.16,137871.71,2,2B,2.0,208.0,Cluster 6,005202 2,5202.0,Precinct 16,38.908700341,-77.03554391,,2025/09/25 21:30:00+00,2025/09/26 11:45:00+00,810235884,
398256.859999999,138689.390000001,25136186,2025/09/06 08:27:00+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1900 - 1999 BLOCK OF 6TH STREET NW,398256.86,138689.39,1,1B,3.0,306.0,Cluster 3,003400 3,3400.0,Precinct 37,38.9160699568,-77.0200997822,,2025/09/06 07:07:00+00,2025/09/06 08:10:00+00,810236436,
397986.859999999,143279.77,25136319,2025/09/06 17:26:16+00,DAY,OTHERS,BURGLARY,700 - 799 BLOCK OF LONGFELLOW STREET NW,397986.86,143279.77,4,4D,4.0,403.0,Cluster 18,002101 2,2101.0,Precinct 56,38.9574208854,-77.0232265627,,2025/09/06 15:40:00+00,2025/09/06 17:26:00+00,810236437,
398232.189999998,138469.66,25136684,2025/09/07 08:33:49+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,600 - 627 BLOCK OF S STREET NW,398232.19,138469.66,2,2G,3.0,308.0,Cluster 7,004801 2,4801.0,Precinct 21,38.9140905064,-77.0203836811,,2025/09/07 03:00:00+00,2025/09/07 06:00:00+00,810236438,
400930.305299997,135000.3739,25137068,2025/09/08 08:15:52+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF E STREET SE,400930.305278816,135000.373882711,6,6B,1.0,106.0,Cluster 26,006900 1,6900.0,Precinct 91,38.882839211,-76.9892778407,,2025/09/08 01:14:00+00,2025/09/08 04:00:00+00,810236439,
402453.990000002,136691.489999998,25137388,2025/09/08 19:08:35+00,EVENING,OTHERS,THEFT/OTHER,2400 - 2499 BLOCK OF BENNING ROAD NE,402453.99,136691.49,7,7D,5.0,507.0,Cluster 25,007903 1,7903.0,Precinct 80,38.8980704839,-76.9717106948,,2025/09/08 17:01:00+00,2025/09/08 17:01:00+00,810236446,
400830.130000003,141099.149999999,25137389,2025/09/08 19:19:33+00,EVENING,OTHERS,THEFT F/AUTO,3900 - 3999 BLOCK OF 12TH STREET NE,400830.13,141099.15,5,5B,5.0,504.0,Cluster 20,009504 1,9504.0,Precinct 68,38.937779168,-76.9904250303,,2025/09/08 18:30:00+00,2025/09/08 18:40:00+00,810236447,
397496.850000001,136885.09,25137766,2025/09/09 13:34:26+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF H STREET NW,397496.85,136885.09,2,2C,2.0,209.0,Cluster 8,005802 1,5802.0,Precinct 129,38.8998143637,-77.0288567213,DOWNTOWN,2025/09/09 12:45:00+00,2025/09/09 13:15:00+00,810236448,
397504.780000001,143027.699999999,25138321,2025/09/10 14:27:31+00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,1200 - 1299 BLOCK OF JEFFERSON STREET NW,397504.78,143027.7,4,4E,4.0,403.0,Cluster 18,002002 3,2002.0,Precinct 54,38.9551489354,-77.0287876337,,2025/09/10 12:56:00+00,,810236449,
393645.649999999,140765.550000001,25139414,2025/09/12 12:05:56+00,DAY,OTHERS,THEFT/OTHER,3700 - 3749 BLOCK OF NEWARK STREET NW,393645.65,140765.55,3,3A,2.0,204.0,Cluster 14,001002 4,1002.0,Precinct 29,38.934751414,-77.0732898841,,2025/09/12 11:39:00+00,2025/09/12 11:42:00+00,810236450,
396999.960000001,140521.120000001,25424101,2025/09/24 11:02:52+00,DAY,OTHERS,THEFT/OTHER,1400 - 1599 BLOCK OF NEWTON STREET NW,396999.96,140521.12,1,1A,4.0,408.0,Cluster 2,002802 1,2802.0,Precinct 41,38.9325673709,-77.0346008373,,2025/09/17 20:10:00+00,2025/09/17 22:06:00+00,810243198,
396831.57,137702.420000002,25424245,2025/10/01 16:02:22+00,DAY,OTHERS,THEFT F/AUTO,1200 - 1399 BLOCK OF 16TH STREET NW,396831.57,137702.42,2,2B,2.0,208.0,Cluster 6,005202 2,5202.0,Precinct 16,38.9071750139,-77.0365299473,,2025/09/20 13:00:00+00,2025/09/20 17:30:00+00,810243199,
397265.630000003,144484.640000001,25424265,2025/10/02 11:32:38+00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF TEWKESBURY PLACE NW,397265.63,144484.64,4,4A,4.0,402.0,Cluster 17,001804 1,1804.0,Precinct 61,38.9682727078,-77.0315525437,,2025/10/01 04:35:00+00,2025/10/01 17:10:00+00,810243200,
397430.659999996,136664.370000001,25423841,2025/09/04 13:31:59+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2.0,209.0,Cluster 8,005802 1,5802.0,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2025/08/28 19:55:00+00,2025/08/28 20:02:00+00,810243711,
400600.659999996,137318.640000001,25424011,2025/09/15 13:32:00+00,DAY,OTHERS,THEFT/OTHER,901 - 999 BLOCK OF L STREET NE,400600.66,137318.64,6,6A,1.0,104.0,Cluster 25,008410 1,8410.0,Precinct 82,38.903723295,-76.9930751142,,2025/09/14 07:00:00+00,2025/09/14 07:00:00+00,810243712,
398943.608400002,133729.350000001,25424025,2025/09/16 14:32:14+00,DAY,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF 1ST STREET SW,398943.608380973,133729.349977531,6,6D,1.0,105.0,Cluster 9,006400 2,6400.0,Precinct 127,38.8713891837,-77.0121734039,,2025/09/06 15:02:00+00,2025/09/15 16:00:00+00,810243713,
398244.350000001,140953.109999999,25424093,2025/09/24 10:31:52+00,MIDNIGHT,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF QUEBEC PLACE NW,398244.35,140953.11,1,1E,4.0,409.0,Cluster 2,003200 1,3200.0,Precinct 43,38.9364622344,-77.0202498225,,2025/09/17 17:30:00+00,2025/09/17 17:31:00+00,810243714,
395708.299999997,136984.039999999,25140848,2025/09/14 22:27:07+00,EVENING,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF I STREET NW,395708.3,136984.04,2,2A,2.0,207.0,Cluster 5,010800 1,10800.0,Precinct 2,38.900698828,-77.0494760323,,2025/09/14 21:53:00+00,,810244110,
405344.464599997,137072.219500002,25142164,2025/09/17 12:12:23+00,DAY,OTHERS,MOTOR VEHICLE THEFT,4400 - 4499 BLOCK OF JAY STREET NE,405344.464642913,137072.219516634,7,7C,6.0,602.0,Cluster 31,007809 2,7809.0,Precinct 94,38.9014874101,-76.9383866916,,2025/09/16 22:00:00+00,2025/09/17 10:45:00+00,810244111,
402921.899999999,139596.82,25142225,2025/09/17 15:12:05+00,DAY,OTHERS,THEFT/OTHER,2615 - 2699 BLOCK OF BLADENSBURG ROAD NE,402921.9,139596.82,5,5C,5.0,503.0,Cluster 24,011100 1,11100.0,Precinct 71,38.9242412524,-76.9663043219,,2025/09/17 14:23:00+00,2025/09/17 14:46:00+00,810244112,
399828.619999997,140828.989999998,25143087,2025/09/19 04:18:04+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3700 - 3799 BLOCK OF HAREWOOD ROAD NE,399828.62,140828.99,5,5A,4.0,405.0,Cluster 20,009511 1,9511.0,Precinct 68,38.9353458618,-77.0019766811,,2025/09/19 01:01:00+00,2025/09/19 02:39:00+00,810244113,
402335.710000001,132676.670000002,25144536,2025/09/21 22:02:01+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2301 - 2399 BLOCK OF GOOD HOPE COURT SE,402335.71,132676.67,8,8A,6.0,607.0,Cluster 34,007605 3,7605.0,Precinct 112,38.8619037431,-76.9730878567,,2025/09/21 18:38:00+00,,810244114,
400268.5,130332.129999999,25144840,2025/09/22 14:53:35+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3304 - 3398 BLOCK OF 7TH STREET SE,400268.5,130332.13,8,8C,7.0,705.0,Cluster 39,009804 1,9804.0,Precinct 122,38.8407861706,-76.9969072475,,2025/09/22 10:37:00+00,2025/09/22 11:42:00+00,810244115,
397229.100000001,138975.93,25146200,2025/09/24 20:31:38+00,EVENING,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF 14TH STREET NW,397229.1,138975.93,1,1B,3.0,305.0,Cluster 3,004401 2,4401.0,Precinct 22,38.9186485641,-77.0319518232,,2025/09/24 20:01:00+00,2025/09/24 20:02:00+00,810244116,
401935.170000002,136161.850000001,25146257,2025/09/24 22:33:36+00,EVENING,OTHERS,ROBBERY,1820 - 1899 BLOCK OF C STREET NE,401935.17,136161.85,7,7D,5.0,507.0,Cluster 25,007901 2,7901.0,Precinct 81,38.8933005886,-76.9776930818,,2025/09/24 19:40:00+00,2025/09/24 20:12:00+00,810244117,
