X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
396290.68,138791.809999999,25142150,2025/09/17 12:32:23+00,DAY,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF VERNON STREET NW,396290.68,138791.81,1,1C,3.0,303.0,Cluster 1,004002 2,4002.0,Precinct 25,38.9169864908,-77.0427719429,ADAMS MORGAN,2025/09/17 04:00:00+00,,810215856,
396326.740000002,139604.809999999,25142273,2025/09/17 16:46:52+00,DAY,OTHERS,THEFT/OTHER,1730 - 1797 BLOCK OF LANIER PLACE NW,396326.74,139604.81,1,1C,3.0,303.0,Cluster 1,003902 2,3902.0,Precinct 35,38.9243104093,-77.0423604874,ADAMS MORGAN,2025/09/17 12:00:00+00,2025/09/17 12:25:00+00,810215857,
394650.049999997,141697.59,25142989,2025/09/18 23:30:41+00,EVENING,OTHERS,ROBBERY,2900 - 3049 BLOCK OF VAN NESS STREET NW,394650.05,141697.59,3,3F,2.0,203.0,Cluster 12,001303 1,1303.0,Precinct 34,38.9431541919,-77.0617125934,,2025/09/18 21:35:00+00,2025/09/18 22:30:00+00,810215858,
399211.403300002,134090.212200001,25143568,2025/09/20 00:01:57+00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,N STREET SE AND SOUTH CAPITOL STREET,399211.40332522,134090.21221787,6,6D,1.0,105.0,Cluster 9,007201 1,7201.0,Precinct 127,38.8746402564,-77.0090878638,,2025/09/19 22:10:00+00,2025/09/19 23:45:00+00,810215859,
398793.710000001,140371.82,25143840,2025/09/20 08:59:28+00,MIDNIGHT,OTHERS,THEFT F/AUTO,100 - 199 BLOCK OF IRVING STREET NW,398793.71,140371.82,5,5E,4.0,405.0,Cluster 21,002302 1,2302.0,Precinct 44,38.9312267245,-77.013912434,,2025/09/20 08:01:00+00,2025/09/20 08:39:00+00,810215860,
397551.670000002,142144.530000001,25134586,2025/09/03 17:45:46+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF CRITTENDEN STREET NW,397551.67,142144.53,4,4E,4.0,404.0,Cluster 18,002002 1,2002.0,Precinct 48,38.9471932319,-77.0282435061,,2025/09/02 22:00:00+00,2025/09/03 17:18:00+00,810215878,
400887.100000001,129540.82,25134762,2025/09/03 21:57:24+00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,4026 - 4199 BLOCK OF WHEELER ROAD SE,400887.1,129540.82,8,8E,7.0,706.0,Cluster 39,009801 1,9801.0,Precinct 121,38.8336572844,-76.9897828422,,2025/09/03 20:09:00+00,2025/09/03 21:58:00+00,810215879,
399287.710000001,138427.449999999,25135165,2025/09/04 16:13:07+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1720 - 1799 BLOCK OF LINCOLN ROAD NE,399287.71,138427.45,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75,38.9137117538,-77.0082129952,,2025/09/04 14:47:00+00,2025/09/04 15:47:00+00,810215880,
400649.770000003,142380.359999999,25136973,2025/09/08 00:19:39+00,EVENING,OTHERS,THEFT/OTHER,4923 - 4999 BLOCK OF SOUTH DAKOTA AVENUE NE,400649.77,142380.36,5,5A,4.0,405.0,Cluster 20,009509 1,9509.0,Precinct 66,38.9493208255,-76.9925041435,,2025/09/07 23:16:00+00,2025/09/07 23:40:00+00,810215881,
398880.039999999,137708.440000001,25137324,2025/09/08 17:37:36+00,DAY,OTHERS,THEFT F/AUTO,100 - 199 BLOCK OF N STREET NW,398880.04,137708.44,5,5E,3.0,308.0,Cluster 21,004600 2,4600.0,Precinct 19,38.9072342414,-77.0129124244,,2025/09/05 12:43:00+00,2025/09/05 19:45:00+00,810215882,
