X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
400465.661399998,129412.744899999,25134097,2025/09/07 20:48:26+00,EVENING,OTHERS,THEFT/OTHER,3900 - 3999 BLOCK OF 8TH STREET SE,400465.661374385,129412.744949526,8,8E,7.0,706.0,Cluster 39,009801 1,9801.0,Precinct 121,38.8325038493,-76.9946368404,,2025/08/27 04:00:00+00,,810210306,
400183.090000004,131022.190000001,25144308,2025/09/21 06:28:53+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,500 - 599 BLOCK OF LEBAUM STREET SE,400183.09,131022.19,8,8C,7.0,707.0,Cluster 39,010400 3,10400.0,Precinct 123,38.8470025598,-76.9978908701,,2025/09/21 05:25:00+00,,810211010,
397194.759999998,137509.469999999,25145126,2025/09/22 21:40:46+00,EVENING,OTHERS,THEFT/OTHER,1 - 1 BLOCK OF THOMAS CIRCLE NW,397194.76,137509.47,2,2C,2.0,207.0,Cluster 8,010100 1,10100.0,Precinct 17,38.9054380874,-77.0323418139,DOWNTOWN,2025/09/22 21:24:00+00,2025/09/22 21:25:00+00,810211011,
395279.450000003,140077.68,25145360,2025/09/23 11:33:29+00,DAY,OTHERS,THEFT F/AUTO,2900 - 2999 BLOCK OF CONNECTICUT AVENUE NW,395279.45,140077.68,3,3C,2.0,204.0,Cluster 15,000501 1,501.0,Precinct 136,38.9285651686,-77.0544412144,,2025/09/20 03:00:00+00,2025/09/23 10:45:00+00,810211012,
397171.109999999,137408.25,25145913,2025/09/24 08:52:03+00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2.0,207.0,Cluster 8,010100 3,10100.0,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2025/09/24 07:40:00+00,2025/09/24 08:51:00+00,810211013,
397694.829999998,146283.34,25146220,2025/09/25 01:37:21+00,EVENING,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,397694.83,146283.34,4,4A,4.0,401.0,Cluster 16,001600 1,1600.0,Precinct 62,38.9844770368,-77.0266059526,,2025/09/24 20:46:00+00,2025/09/24 21:03:00+00,810211014,
402158.310000002,138824.530000001,25147169,2025/09/26 16:20:47+00,DAY,OTHERS,THEFT/OTHER,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,402158.31,138824.53,5,5C,5.0,505.0,Cluster 22,011100 3,11100.0,Precinct 72,38.9172864211,-76.9751125549,,2025/09/26 15:50:00+00,2025/09/26 16:15:00+00,810211015,
400840.659999996,139142.940000001,25147472,2025/09/27 01:10:20+00,EVENING,OTHERS,THEFT/OTHER,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,400840.66,139142.94,5,5C,5.0,505.0,Cluster 22,009102 3,9102.0,Precinct 72,38.9201570109,-76.9903059701,,2025/09/27 00:41:00+00,2025/09/27 01:10:00+00,810211016,
399362.350000001,129328.280000001,25147632,2025/09/27 09:12:12+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1 - 21 BLOCK OF MISSISSIPPI AVENUE SE,399362.35,129328.28,8,8D,7.0,707.0,Cluster 39,009803 2,9803.0,Precinct 124,38.8317428422,-77.0073439251,,2025/09/27 05:45:00+00,,810211017,
393391.899999999,141537.359999999,25148215,2025/09/28 12:47:17+00,DAY,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF WISCONSIN AVENUE NW,393391.9,141537.36,3,3A,2.0,204.0,Cluster 14,001002 2,1002.0,Precinct 29,38.9417022317,-77.0762240207,,2025/09/28 04:00:00+00,,810211018,
