X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399439.700000003,141530.350000001,25136406,2025/09/06 22:43:00+00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,1 - 99 BLOCK OF FORT DRIVE NE,399439.7,141530.35,5,5A,4.0,405.0,Cluster 19,009511 1,9511.0,Precinct 44,38.9416637571,-77.0064630213,,2025/09/06 19:11:00+00,2025/09/06 20:13:00+00,810353006,
402817.799999997,132471.609999999,25137212,2025/09/08 15:11:22+00,DAY,OTHERS,THEFT/OTHER,2721 - 2899 BLOCK OF MARION BARRY AVENUE SE,402817.8,132471.61,7,7B,6.0,606.0,Cluster 35,007604 3,7604.0,Precinct 113,38.8600550644,-76.9675340373,,2025/09/08 13:45:00+00,2025/09/08 13:58:00+00,810353007,
393645.649999999,140765.550000001,25137245,2025/09/08 16:54:58+00,DAY,OTHERS,THEFT/OTHER,3700 - 3749 BLOCK OF NEWARK STREET NW,393645.65,140765.55,3,3A,2.0,204.0,Cluster 14,001002 4,1002.0,Precinct 29,38.934751414,-77.0732898841,,2025/09/08 14:34:00+00,2025/09/08 14:35:00+00,810353008,
400233.789999999,136927.879999999,25137440,2025/09/08 20:50:11+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF H STREET NE,400233.79,136927.88,6,6C,1.0,104.0,Cluster 25,008302 2,8302.0,Precinct 83,38.9002033642,-76.9973048161,,2025/09/08 20:17:00+00,2025/09/08 20:30:00+00,810353009,
399287.710000001,138427.449999999,25137483,2025/09/08 22:43:01+00,EVENING,KNIFE,ROBBERY,1720 - 1799 BLOCK OF LINCOLN ROAD NE,399287.71,138427.45,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75,38.9137117538,-77.0082129952,,2025/09/08 20:45:00+00,2025/09/08 22:38:00+00,810353010,
398099.079999998,137450.09,25137548,2025/09/09 00:12:30+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 7TH STREET NW,398099.08,137450.09,2,2G,3.0,308.0,Cluster 8,004802 2,4802.0,Precinct 18,38.9049055925,-77.0219156797,,2025/09/08 22:20:00+00,2025/09/08 23:52:00+00,810353011,
399589.880000003,137184.52,25138194,2025/09/10 04:47:21+00,MIDNIGHT,OTHERS,ROBBERY,100 - 199 BLOCK OF K STREET NE,399589.88,137184.52,6,6E,1.0,102.0,Cluster 25,010603 1,10603.0,Precinct 144,38.9025152042,-77.0047281092,NOMA,2025/09/09 22:57:00+00,2025/09/09 23:00:00+00,810353012,
399277.700000003,129297.440000001,25138394,2025/09/10 17:05:38+00,DAY,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF ATLANTIC STREET SW,399277.7,129297.44,8,8D,7.0,708.0,Cluster 39,009807 1,9807.0,Precinct 124,38.8314649558,-77.0083188214,,2025/09/09 19:45:00+00,2025/09/09 20:00:00+00,810353013,
395766.700000003,137555.93,25138836,2025/09/11 12:34:15+00,DAY,OTHERS,THEFT/OTHER,1200 - 1249 BLOCK OF 22ND STREET NW,395766.7,137555.93,2,2A,2.0,208.0,Cluster 5,005501 1,5501.0,Precinct 4,38.9058508976,-77.0488063042,,2025/08/28 16:55:00+00,2025/08/28 17:10:00+00,810353014,
406235.359999999,134777.899999999,25139417,2025/09/12 13:53:54+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5100 - 5298 BLOCK OF FITCH STREET SE,406235.36,134777.9,7,7E,6.0,604.0,Cluster 33,007707 3,7707.0,Precinct 106,38.8808134633,-76.9281368887,,2025/09/12 11:42:00+00,2025/09/12 12:29:00+00,810353015,
398274.219999999,138545.75,25139483,2025/09/12 15:03:03+00,DAY,OTHERS,ROBBERY,1800 - 1841 BLOCK OF 6TH STREET NW,398274.22,138545.75,2,2G,3.0,306.0,Cluster 3,004801 2,4801.0,Precinct 21,38.9147760341,-77.0198992467,,2025/09/12 13:49:00+00,2025/09/12 15:03:00+00,810353016,
403074.149099998,131528.8409,25139743,2025/09/12 23:00:35+00,EVENING,OTHERS,THEFT F/AUTO,3000 - 3099 BLOCK OF 30TH STREET SE,403074.149120806,131528.840855489,8,8B,7.0,702.0,Cluster 36,007502 3,7502.0,Precinct 115,38.8515613393,-76.9645846634,,2025/09/12 21:36:00+00,2025/09/12 22:19:00+00,810353017,
