X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
398443.310000002,139110.629999999,25136953,2025/09/07 23:22:42+00,EVENING,OTHERS,THEFT/OTHER,2200 - 2223 BLOCK OF 4TH STREET NW,398443.31,139110.63,1,1E,3.0,306.0,Cluster 3,003400 5,3400.0,Precinct 20,38.9198649753,-77.0179508215,,2025/09/07 22:17:00+00,2025/09/07 23:00:00+00,810247309,
398604.640000001,133801.489999998,25142250,2025/09/17 15:54:29+00,DAY,OTHERS,THEFT F/AUTO,300 - 379 BLOCK OF P STREET SW,398604.64,133801.49,6,6D,1.0,105.0,Cluster 9,011001 1,11001.0,Precinct 127,38.8720385776,-77.0160796764,,2025/09/17 13:33:00+00,2025/09/17 13:50:00+00,810247668,
400846.149999999,137116.190000001,25142454,2025/09/17 22:39:30+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,900 - 999 BLOCK OF 12TH STREET NE,400846.15,137116.19,6,6A,1.0,104.0,Cluster 25,008410 1,8410.0,Precinct 82,38.9018993517,-76.9902451599,,2025/09/17 14:00:00+00,2025/09/17 18:00:00+00,810247669,
400937.880000003,133147.699999999,25142649,2025/09/18 11:31:27+00,DAY,OTHERS,THEFT F/AUTO,2000 - 2098 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400937.88,133147.7,8,8A,7.0,701.0,Cluster 28,007503 1,7503.0,Precinct 114,38.8661495781,-76.9891930667,ANACOSTIA,2025/09/17 20:00:00+00,2025/09/17 21:15:00+00,810247670,
400489.770000003,128759.199999999,25143525,2025/09/20 02:02:16+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,700 - 860 BLOCK OF SOUTHERN AVENUE SE,400489.77,128759.2,8,8E,7.0,706.0,Cluster 39,009811 2,9811.0,Precinct 125,38.8266163993,-76.9943596393,,2025/09/19 20:41:00+00,2025/09/19 22:20:00+00,810247671,
399272.369999997,136594.949999999,25143578,2025/09/20 02:16:35+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1 - 99 BLOCK OF MASSACHUSETTS AVENUE NE,399272.37,136594.95,6,6C,1.0,102.0,Cluster 25,010603 1,10603.0,Precinct 144,38.8972039407,-77.0083879302,CAPITOL HILL,2025/09/19 22:02:00+00,2025/09/19 23:29:00+00,810247672,
400779.481200002,132981.499400001,25144390,2025/09/21 12:50:42+00,DAY,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF SHANNON PLACE SE,400779.481214676,132981.499416837,8,8A,7.0,701.0,Cluster 28,007503 1,7503.0,Precinct 119,38.8646525293,-76.9910184407,ANACOSTIA,2025/09/21 12:12:00+00,2025/09/21 12:14:00+00,810247673,
396830.43,137253.620000001,25144846,2025/09/22 11:40:41+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 16TH STREET NW,396830.43,137253.62,2,2C,2.0,207.0,Cluster 6,010100 1,10100.0,Precinct 17,38.9031320626,-77.0365410195,DOWNTOWN,2025/09/22 11:10:00+00,2025/09/22 11:13:00+00,810247674,
395540.719999999,137406.129999999,25145984,2025/09/24 14:12:11+00,DAY,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF 24TH STREET NW,395540.72,137406.13,2,2A,2.0,207.0,Cluster 5,005503 1,5503.0,Precinct 4,38.9045003295,-77.0514106859,,2025/09/17 13:45:00+00,2025/09/17 14:15:00+00,810247675,
397700.049999997,136885.32,25147872,2025/09/28 17:56:09+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF H STREET NW,397700.05,136885.32,2,2C,2.0,209.0,Cluster 8,005802 5,5802.0,Precinct 129,38.8998169908,-77.0265141995,DOWNTOWN,2025/09/27 19:39:00+00,2025/09/28 00:14:00+00,810247676,
396107.329999998,138182.600000001,25148499,2025/09/29 00:49:12+00,EVENING,OTHERS,THEFT/OTHER,1600 - 1639 BLOCK OF 20TH STREET NW,396107.33,138182.6,2,2B,2.0,208.0,Cluster 6,005502 1,5502.0,Precinct 14,38.9114977306,-77.0448826864,DUPONT CIRCLE,2025/09/28 22:30:00+00,2025/09/29 00:00:00+00,810247677,
397633.43,144615.420000002,25148708,2025/09/29 13:59:26+00,DAY,OTHERS,THEFT/OTHER,6500 - 6599 BLOCK OF GEORGIA AVENUE NW,397633.43,144615.42,4,4A,4.0,402.0,Cluster 17,001804 2,1804.0,Precinct 61,38.9694518736,-77.027308864,,2025/09/29 13:21:00+00,2025/09/29 13:23:00+00,810247678,
