X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
406836.3543,135296.976300001,25145936,2025/09/24 12:06:12+00,DAY,OTHERS,THEFT F/AUTO,5400 - 5699 BLOCK OF B STREET SE,406836.354340297,135296.976346986,7,7E,6.0,604.0,Cluster 33,009905 2,9905.0,Precinct 105,38.8854850339,-76.921205212,,2025/09/23 03:00:00+00,2025/09/23 10:00:00+00,810435322,
393039.43,142375.16,25147240,2025/09/27 01:24:47+00,EVENING,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,393039.43,142375.16,3,3E,2.0,202.0,Cluster 11,001100 4,1100.0,Precinct 32,38.9492466458,-77.0802982386,,2025/09/26 16:50:00+00,2025/09/26 16:53:00+00,810435323,
397179.799999997,137320.690000001,25147607,2025/09/27 06:40:24+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1400 - 1419 BLOCK OF L STREET NW,397179.8,137320.69,2,2C,2.0,207.0,Cluster 8,010100 3,10100.0,Precinct 129,38.9037374432,-77.0325135136,DOWNTOWN,2025/09/27 05:31:00+00,,810435324,
396504.560000002,137376.52,25147683,2025/09/27 12:32:01+00,DAY,OTHERS,THEFT F/AUTO,1100 - 1129 BLOCK OF CONNECTICUT AVENUE NW,396504.56,137376.52,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17,38.9042379536,-77.0402985018,GOLDEN TRIANGLE,2025/09/27 02:00:00+00,2025/09/27 10:00:00+00,810435325,
395063.890000001,136998.120000001,25147855,2025/09/27 20:01:09+00,EVENING,OTHERS,THEFT F/AUTO,2701 - 2899 BLOCK OF VIRGINIA AVENUE NW,395063.89,136998.12,2,2E,2.0,206.0,Cluster 45,000102 3,102.0,Precinct 5,38.9008222833,-77.0569050876,GEORGETOWN,2025/09/27 10:20:00+00,2025/09/27 13:00:00+00,810435326,
394626.859999999,137194.870000001,25148339,2025/09/28 18:44:00+00,DAY,OTHERS,THEFT/OTHER,3100 - 3199 BLOCK OF K STREET NW,394626.86,137194.87,2,2E,2.0,206.0,Cluster 4,000202 4,202.0,Precinct 6,38.9025921141,-77.0619448497,GEORGETOWN,2025/09/28 17:57:00+00,2025/09/28 18:44:00+00,810435327,
397506.579999998,145828.539999999,25146588,2025/09/25 17:57:42+00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF HOLLY STREET NW,397506.58,145828.54,4,4A,4.0,401.0,Cluster 16,001600 2,1600.0,Precinct 62,38.9803795859,-77.0287770532,,2025/09/25 13:30:00+00,2025/09/25 15:52:00+00,810435362,
400384.780000001,136927.940000001,25147182,2025/09/26 17:12:32+00,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF H STREET NE,400384.78,136927.94,6,6A,1.0,104.0,Cluster 25,010602 2,10602.0,Precinct 83,38.9002038516,-76.9955641693,,2025/09/26 16:14:00+00,2025/09/26 16:45:00+00,810435363,
393427.719999999,143911.66,25148314,2025/09/28 17:44:22+00,DAY,OTHERS,BURGLARY,3800 - 3899 BLOCK OF LIVINGSTON STREET NW,393427.72,143911.66,3,3/4G,2.0,201.0,Cluster 10,001100 1,1100.0,Precinct 32,38.9630908287,-77.0758335902,,2025/09/27 19:30:00+00,2025/09/28 14:00:00+00,810435364,
397085.340000004,141789.93,25144945,2025/09/22 17:56:32+00,DAY,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF WEBSTER STREET NW,397085.34,141789.93,4,4E,4.0,404.0,Cluster 18,002501 2,2501.0,Precinct 48,38.9439974718,-77.0336215003,,2025/09/22 14:58:00+00,2025/09/22 16:05:00+00,810435582,
