X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
397329.859999999,138634.390000001,25423934,2025/09/10 12:02:47+00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF T STREET NW,397329.86,138634.39,1,1B,3.0,305.0,Cluster 3,004402 1,4402.0,Precinct 22,38.915572171,-77.0307886105,,2025/09/09 19:54:00+00,2025/09/09 19:54:00+00,809892536,
402240.600000001,137433.649999999,25136195,2025/09/06 09:01:47+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1100 - 1199 BLOCK OF 21ST STREET NE,402240.6,137433.65,5,5D,5.0,507.0,Cluster 23,008903 1,8903.0,Precinct 78,38.904756695,-76.9741682083,,2025/09/06 06:49:00+00,2025/09/06 09:00:00+00,809892792,
399214.789999999,137753.75,25144562,2025/09/21 21:29:38+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,399214.79,137753.75,6,6E,1.0,102.0,Cluster 8,004704 2,4704.0,Precinct 1,38.9076427724,-77.0090530223,,2025/09/21 19:30:00+00,2025/09/21 20:46:00+00,809892859,
402453.990000002,136691.489999998,25143134,2025/09/19 05:22:36+00,MIDNIGHT,KNIFE,ROBBERY,2400 - 2499 BLOCK OF BENNING ROAD NE,402453.99,136691.49,7,7D,5.0,507.0,Cluster 25,007903 1,7903.0,Precinct 80,38.8980704839,-76.9717106948,,2025/09/19 03:57:00+00,2025/09/19 04:50:00+00,809892901,
391696.789999999,141919.059999999,25148852,2025/09/29 19:05:59+00,EVENING,OTHERS,THEFT F/AUTO,4800 - 4899 BLOCK OF MASSACHUSETTS AVENUE NW,391696.79,141919.06,3,3D,2.0,205.0,Cluster 13,000903 2,903.0,Precinct 9,38.945126307,-77.0957816153,,2025/09/29 12:20:00+00,2025/09/29 18:30:00+00,809893339,
399218.8046,129419.109200001,25135281,2025/09/04 20:06:16+00,EVENING,OTHERS,THEFT/OTHER,3900 - 3999 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,399218.804637228,129419.109237532,8,8D,7.0,708.0,Cluster 39,009807 1,9807.0,Precinct 124,38.8325609582,-77.0089972649,,2025/09/04 19:17:00+00,2025/09/04 20:00:00+00,809901434,
404308.234099999,136738.270799998,25142838,2025/09/18 18:43:38+00,DAY,OTHERS,THEFT F/AUTO,600 - 629 BLOCK OF KENILWORTH TERRACE NE,404308.234145951,136738.270780324,7,7D,6.0,601.0,Cluster 30,009602 3,9602.0,Precinct 100,38.8984847701,-76.9503348985,,2025/09/18 17:25:00+00,2025/09/18 18:43:00+00,809901597,
396385.259999998,137809.530000001,25423989,2025/09/12 22:02:27+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 18TH STREET NW,396385.26,137809.53,2,2B,2.0,208.0,Cluster 6,010700 2,10700.0,Precinct 15,38.9081381756,-77.0416761758,,2025/09/12 15:15:00+00,2025/09/12 15:20:00+00,809901753,
397228.909999996,138593.059999999,25135763,2025/09/05 18:42:40+00,DAY,OTHERS,BURGLARY,1820 - 1899 BLOCK OF 14TH STREET NW,397228.91,138593.06,1,1B,3.0,305.0,Cluster 3,004402 1,4402.0,Precinct 22,38.9151995441,-77.0319524688,,2025/09/05 08:24:00+00,2025/09/05 17:00:00+00,809901777,
400435.848899998,134906.7148,25136112,2025/09/06 04:18:21+00,MIDNIGHT,OTHERS,THEFT/OTHER,500 - 699 BLOCK OF 8TH STREET SE,400435.848862357,134906.714778624,6,6B,1.0,106.0,Cluster 26,007000 2,7000.0,Precinct 90,38.8819958778,-76.9949767181,CAPITOL HILL,2025/09/06 03:29:00+00,2025/09/06 04:17:00+00,809901778,
